Name	Chromosome	Region	Expression value	Gene length	RPKM	Unique gene reads	Total gene reads
Francci3_0001	NC_007777 with rRNA	35..1723	153.249643	1689	153.249643	1887	1887
Francci3_0003	NC_007777 with rRNA	2488..3696	637.5143314	1209	637.5143314	5619	5619
recF	NC_007777 with rRNA	3698..4897	250.6770681	1200	250.6770681	2193	2193
Francci3_0005	NC_007777 with rRNA	4887..5708	62.91102392	822	62.91102392	377	377
gyrB	NC_007777 with rRNA	5916..7955	345.2768823	2040	345.2768823	5135	5135
Francci3_0007	NC_007777 with rRNA	8155..10659	255.9400196	2505	255.9400196	4674	4674
Francci3_0008	NC_007777 with rRNA	complement(10825..11724)	113.8505973	900	113.8505973	747	747
Francci3_0009	NC_007777 with rRNA	11810..12496	205.454595	687	205.454595	1029	1029
Francci3_0010	NC_007777 with rRNA	13122..14525	65.2629312	1404	65.2629312	668	668
Francci3_0011	NC_007777 with rRNA	14536..15267	30.73194081	732	30.73194081	164	164
Francci3_0012	NC_007777 with rRNA	15254..16435	77.52043605	1182	77.52043605	668	668
Francci3_0013	NC_007777 with rRNA	complement(16418..16990)	139.8026637	573	139.8026637	584	584
Francci3_0014	NC_007777 with rRNA	complement(17127..17819)	249.0030275	693	249.0030275	1258	1258
Francci3_0015	NC_007777 with rRNA	18601..20655	68.08407894	2055	68.08407894	1020	1020
Francci3_0016	NC_007777 with rRNA	20624..22171	17.89936541	1548	17.89936541	202	202
Francci3_0017	NC_007777 with rRNA	22428..25316	19.46675378	2889	19.46675378	410	410
Francci3_0018	NC_007777 with rRNA	25679..27331	66.13672552	1653	66.13672552	797	797
Francci3_0019	NC_007777 with rRNA	27358..27978	42.85163043	621	42.85163043	194	194
Francci3_0020	NC_007777 with rRNA	28057..29211	18.64553672	1155	18.64553672	157	157
Francci3_0021	NC_007777 with rRNA	29208..30038	3.301309129	831	3.301309129	20	20
Francci3_0022	NC_007777 with rRNA	30046..30873	4.141587993	828	4.141587993	25	25
Francci3_0023	NC_007777 with rRNA	30875..31867	18.51027073	993	18.51027073	134	134
Francci3_0024	NC_007777 with rRNA	31864..32142	41.29831227	279	41.29831227	84	84
Francci3_0025	NC_007777 with rRNA	32272..32565	144.1678328	294	144.1678328	309	309
Francci3_0026	NC_007777 with rRNA	32562..32816	53.25400015	255	53.25400015	99	99
Francci3_0027	NC_007777 with rRNA	32939..34468	70.73637394	1530	70.73637394	789	789
