Name	Chromosome	Region	Expression value	Gene length	RPKM	Unique gene reads	Total gene reads
Francci3_0001	NC_007777 with rRNA	35..1723	103.0844377	1689	103.0844377	1161	1161
Francci3_0003	NC_007777 with rRNA	2488..3696	577.0373721	1209	577.0373721	4652	4652
recF	NC_007777 with rRNA	3698..4897	234.4456203	1200	234.4456203	1876	1876
Francci3_0005	NC_007777 with rRNA	4887..5708	52.90743615	822	52.90743615	290	290
gyrB	NC_007777 with rRNA	5916..7955	301.4741907	2040	301.4741907	4101	4101
Francci3_0007	NC_007777 with rRNA	8155..10659	215.6386054	2505	215.6386054	3602	3602
Francci3_0008	NC_007777 with rRNA	complement(10825..11724)	100.8099505	900	100.8099505	605	605
Francci3_0009	NC_007777 with rRNA	11810..12496	178.9977828	687	178.9977828	820	820
Francci3_0010	NC_007777 with rRNA	13122..14525	54.47454412	1404	54.47454412	510	510
Francci3_0011	NC_007777 with rRNA	14536..15267	30.93544747	732	30.93544747	151	151
Francci3_0012	NC_007777 with rRNA	15254..16435	71.93762879	1182	71.93762879	567	567
Francci3_0013	NC_007777 with rRNA	complement(16418..16990)	143.1605112	573	143.1605112	547	547
Francci3_0014	NC_007777 with rRNA	complement(17127..17819)	202.334021	693	202.334021	935	935
Francci3_0015	NC_007777 with rRNA	18601..20655	53.19933925	2055	53.19933925	729	729
Francci3_0016	NC_007777 with rRNA	20624..22171	13.17523858	1548	13.17523858	136	136
Francci3_0017	NC_007777 with rRNA	22428..25316	13.18489607	2889	13.18489607	254	254
Francci3_0018	NC_007777 with rRNA	25679..27331	56.70191151	1653	56.70191151	625	625
Francci3_0019	NC_007777 with rRNA	27358..27978	36.22348202	621	36.22348202	150	150
Francci3_0020	NC_007777 with rRNA	28057..29211	17.39856181	1155	17.39856181	134	134
Francci3_0021	NC_007777 with rRNA	29208..30038	4.872516029	831	4.872516029	27	27
Francci3_0022	NC_007777 with rRNA	30046..30873	4.165700432	828	4.165700432	23	23
Francci3_0023	NC_007777 with rRNA	30875..31867	19.33086364	993	19.33086364	128	128
Francci3_0024	NC_007777 with rRNA	31864..32142	42.46326892	279	42.46326892	79	79
Francci3_0025	NC_007777 with rRNA	32272..32565	153.0257302	294	153.0257302	300	300
Francci3_0026	NC_007777 with rRNA	32562..32816	64.10277842	255	64.10277842	109	109
Francci3_0027	NC_007777 with rRNA	32939..34468	61.45633344	1530	61.45633344	627	627
Francci3_0028	NC_007777 with rRNA	complement(34525..34953)	141.9251224	429	141.9251224	406	406
Francci3_0029	NC_007777 with rRNA	complement(35311..35586)	3.803465612	276	3.803465612	7	7
Francci3_0030	NC_007777 with rRNA	complement(35871..37199)	19.29575008	1329	19.29575008	171	171
Francci3_0031	NC_007777 with rRNA	37685..38491	131.7538263	807	131.7538263	709	709
Francci3_0032	NC_007777 with rRNA	complement(38911..39249)	111.9209426	339	111.9209426	253	253
Francci3_0033	NC_007777 with rRNA	39396..39938	158.2505866	543	158.2505866	573	573
