Name,Chromosome,Region,Expression value,Gene length,RPKM,Unique gene reads,Total gene reads
Franean1_0001,CP000820,71..1654,0.49929642286524,1584,0.49929642286524,20,21
Franean1_0002,CP000820,2937..3959,0.4785882762948,1023,0.4785882762948,13,13
Franean1_0003,CP000820,3956..5116,1.7192458591683,1161,1.7192458591683,52,53
Franean1_0004,CP000820,5118..6491,0.13704954838472,1374,0.13704954838472,5,5
Franean1_0005,CP000820,6712..7245,0.14105324305663,534,0.14105324305663,2,2
Franean1_0006,CP000820,7555..9513,3.8833923486557,1959,3.8833923486557,202,202
Franean1_0007,CP000820,9711..12224,2.5017593693923,2514,2.5017593693923,161,167
Franean1_0008,CP000820,12333..14270,1.8267050021855,1938,1.8267050021855,66,94
Franean1_0009,CP000820,15245..15862,0.97504766074101,618,0.97504766074101,16,16
Franean1_0010,CP000820,complement(15821..17065),0.78649928779049,1245,0.78649928779049,26,26
Franean1_0011,CP000820,complement(17052..17921),0.25973252342153,870,0.25973252342153,6,6
Franean1_0012,CP000820,complement(17915..19291),0.54700386196255,1377,0.54700386196255,20,20
Franean1_0013,CP000820,complement(19531..19959),0.87788382042241,429,0.87788382042241,10,10
Franean1_0014,CP000820,20169..20873,0.16026049317498,705,0.16026049317498,3,3
Franean1_0015,CP000820,complement(20881..21498),0.12188095759263,618,0.12188095759263,2,2
Franean1_0016,CP000820,complement(21745..22848),0.13645368078305,1104,0.13645368078305,4,4
Franean1_0017,CP000820,23241..24332,0.93118390951948,1092,0.93118390951948,26,27
Franean1_0018,CP000820,complement(24683..25021),0.2221900642839,339,0.2221900642839,2,2
Franean1_0019,CP000820,25136..25678,0.97100740800313,543,0.97100740800313,14,14
Franean1_0020,CP000820,25853..26017,4.1084962795769,165,4.1084962795769,18,18
Franean1_0021,CP000820,complement(26159..26716),1.6873304612958,558,1.6873304612958,25,25
Franean1_0022,CP000820,complement(26953..28206),0.5405916157338,1254,0.5405916157338,15,18
Franean1_0023,CP000820,complement(28203..29546),0.5884564983769,1344,0.5884564983769,20,21
Franean1_0024,CP000820,29898..30662,0.24615173788315,765,0.24615173788315,5,5
Franean1_0025,CP000820,30889..31950,0.46101300061165,1062,0.46101300061165,13,13
Franean1_0027,CP000820,complement(35609..36013),0.46495328266816,405,0.46495328266816,5,5
Franean1_0028,CP000820,complement(36044..36967),0.16303556664988,924,0.16303556664988,4,4
Franean1_0029,CP000820,37290..37865,0.32692027687605,576,0.32692027687605,5,5
Franean1_0030,CP000820,37862..38839,1.9639284363008,978,1.9639284363008,51,51
Franean1_0031,CP000820,complement(39584..40471),19.00025306471,888,19.00025306471,448,448
Franean1_0032,CP000820,complement(40475..41677),40.165702406254,1203,40.165702406254,1283,1283
Franean1_0033,CP000820,complement(42120..42485),28.503160664551,366,28.503160664551,277,277
Franean1_0034,CP000820,complement(42461..43171),28.126730859129,711,28.126730859129,531,531
Franean1_0035,CP000820,complement(43221..43496),49.805593485813,276,49.805593485813,365,365
Franean1_0036,CP000820,43699..44568,2.3375927107937,870,2.3375927107937,54,54
Franean1_0037,CP000820,44565..44774,0.35867824662973,210,0.35867824662973,2,2
Franean1_0038,CP000820,45693..46814,0.10069843822492,1122,0.10069843822492,3,3
Franean1_0039,CP000820,46811..47149,0,339,0,0,0
Franean1_0040,CP000820,47146..48660,0.14915333028167,1515,0.14915333028167,6,6
Franean1_0041,CP000820,complement(48701..49600),0.25107477264081,900,0.25107477264081,6,6
Franean1_0042,CP000820,49995..50705,0,711,0,0,0
Franean1_0043,CP000820,51034..56460,0.29840285305569,5427,0.29840285305569,40,43
