Name,Chromosome,Region,Expression value,Gene length,RPKM,Unique gene reads,Total gene reads
Franean1_0001,CP000820,71..1654,0,1584,0,0,0
Franean1_0002,CP000820,2937..3959,0.45876861925,1023,0.45876861925,5,5
Franean1_0003,CP000820,3956..5116,1.3744091399443,1161,1.3744091399443,17,17
Franean1_0004,CP000820,5118..6491,0.40988672270109,1374,0.40988672270109,6,6
Franean1_0005,CP000820,6712..7245,0,534,0,0,0
Franean1_0006,CP000820,7555..9513,3.5456561525741,1959,3.5456561525741,74,74
Franean1_0007,CP000820,9711..12224,2.7255673601409,2514,2.7255673601409,73,73
Franean1_0008,CP000820,12333..14270,0.62963507403568,1938,0.62963507403568,13,13
Franean1_0009,CP000820,15245..15862,2.5820210541672,618,2.5820210541672,17,17
Franean1_0010,CP000820,complement(15821..17065),0.82932100761771,1245,0.82932100761771,11,11
Franean1_0011,CP000820,complement(17052..17921),0.43155889424621,870,0.43155889424621,3,4
Franean1_0012,CP000820,complement(17915..19291),0.68165620550871,1377,0.68165620550871,10,10
Franean1_0013,CP000820,complement(19531..19959),1.3127840489308,429,1.3127840489308,6,6
Franean1_0014,CP000820,20169..20873,0,705,0,0,0
Franean1_0015,CP000820,complement(20881..21498),0,618,0,0,0
Franean1_0016,CP000820,complement(21745..22848),0.3400871720962,1104,0.3400871720962,4,4
Franean1_0017,CP000820,23241..24332,0.42978049220948,1092,0.42978049220948,5,5
Franean1_0018,CP000820,complement(24683..25021),1.661310787585,339,1.661310787585,6,6
Franean1_0019,CP000820,25136..25678,1.3828959042144,543,1.3828959042144,8,8
Franean1_0020,CP000820,25853..26017,3.98211161509,165,3.98211161509,7,7
Franean1_0021,CP000820,complement(26159..26716),0.67286064156667,558,0.67286064156667,4,4
Franean1_0022,CP000820,complement(26953..28206),0.44911033252895,1254,0.44911033252895,6,6
Franean1_0023,CP000820,complement(28203..29546),0.13967865996808,1344,0.13967865996808,2,2
Franean1_0024,CP000820,29898..30662,0.12269811699157,765,0.12269811699157,1,1
Franean1_0025,CP000820,30889..31950,0.35353694726384,1062,0.35353694726384,4,4
Franean1_0027,CP000820,complement(35609..36013),1.3905786592378,405,1.3905786592378,6,6
Franean1_0028,CP000820,complement(36044..36967),0.81267583981429,924,0.81267583981429,8,8
